OTU	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B6	B7	B8	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	
0b205494816faa5c843139853230e981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	9	0	13	33	0	0	10	45	55	39	52	43	29	53	13	
0b31e106c9d2136496e0eafd6c3285e0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0b629a19a175b16ca21975ff5d4ac151	0	0	0	0	0	0	0	0	0	0	0	0	0	41	24	20	18	0	0	0	0	26	5	0	0	14	20	23	8	3	0	0	0	12	0	30	
0b69d354b86c4183a6b83052d0e4a5af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0b811d1246b6176714421bd512dcbaf0	13	19	28	8	22	16	17	24	27	0	0	0	0	52	47	52	0	0	0	0	0	0	0	0	58	54	270	101	49	57	123	148	114	55	109	28	
0b9d6ae30698fe3144a187eaaafdaef8	140	50	48	55	175	163	47	67	60	22	135	194	2109	39	30	33	3266	1645	1017	647	609	4077	4746	4412	193	265	161	278	320	287	15	7	22	178	21	302	
0ba3bef030610c13c3438b2237c2a3e2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0be903923b464e36378afb647f6492f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	3	8	0	0	0	0	0	0	5	
0bebc75bb79b16b35f81b02b58e93257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0bed276ffdecf74d213f72df34f00ab1	4	0	0	0	9	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	18	271	109	212	12	5	380	340	336	4	437	254	
